Index,File,Points,Lambda_Min,Lambda_Max,Integral,Peak_Value,Peak_Lambda,Mean_Value,Time_HMS
161,500_145_QEPB04081__161__11-31-31-581.txt,1044,220.843,1015.12,517136.82376,15890.88,508.027,641.124252873566,2000-01-01 11:31:31
162,500_145_QEPB04081__162__11-31-32-572.txt,1044,220.843,1015.12,537398.48524,16490.62,507.253,666.255057471261,2000-01-01 11:31:32
163,500_145_QEPB04081__163__11-31-33-566.txt,1044,220.843,1015.12,538281.27174,16495.62,508.027,667.349885057468,2000-01-01 11:31:33
164,500_145_QEPB04081__164__11-31-34-563.txt,1044,220.843,1015.12,556983.16425,17125.75,508.027,690.536398467433,2000-01-01 11:31:34
165,500_145_QEPB04081__165__11-31-35-554.txt,1044,220.843,1015.12,557414.67376,17108.38,508.027,691.065823754792,2000-01-01 11:31:35
166,500_145_QEPB04081__166__11-31-36-561.txt,1044,220.843,1015.12,557154.60075,17131.75,507.253,690.736590038314,2000-01-01 11:31:36
167,500_145_QEPB04081__167__11-31-37-549.txt,1044,220.843,1015.12,557819.72726,17063.38,507.253,691.570613026823,2000-01-01 11:31:37
168,500_145_QEPB04081__168__11-31-38-540.txt,1044,220.843,1015.12,557478.99974,17110.12,508.027,691.14394636015,2000-01-01 11:31:38
169,500_145_QEPB04081__169__11-31-39-536.txt,1044,220.843,1015.12,557991.30974,17083.62,508.027,691.785708812258,2000-01-01 11:31:39
171,500_145_QEPB04081__171__11-31-40-557.txt,1044,220.843,1015.12,556788.24326,17103.88,507.253,690.281340996172,2000-01-01 11:31:40
172,500_145_QEPB04081__172__11-31-41-555.txt,1044,220.843,1015.12,557289.52576,17130.88,508.027,690.907777777781,2000-01-01 11:31:41
173,500_145_QEPB04081__173__11-31-42-547.txt,1044,220.843,1015.12,557138.38424,17095.62,508.027,690.714827586204,2000-01-01 11:31:42
174,500_145_QEPB04081__174__11-31-43-564.txt,1044,220.843,1015.12,557560.80324,17098.12,508.027,691.246436781606,2000-01-01 11:31:43
175,500_145_QEPB04081__175__11-31-44-560.txt,1044,220.843,1015.12,557087.18574,17088.12,507.253,690.659272030648,2000-01-01 11:31:44
176,500_145_QEPB04081__176__11-31-45-560.txt,1044,220.843,1015.12,557568.11576,17114.38,508.027,691.256436781612,2000-01-01 11:31:45
177,500_145_QEPB04081__177__11-31-46-555.txt,1044,220.843,1015.12,557057.68425,17079.25,508.027,690.623563218391,2000-01-01 11:31:46
178,500_145_QEPB04081__178__11-31-47-564.txt,1044,220.843,1015.12,557454.4645,17095.5,508.027,691.120689655172,2000-01-01 11:31:47
179,500_145_QEPB04081__179__11-31-48-566.txt,1044,220.843,1015.12,557031.93574,17062.12,508.027,690.593180076625,2000-01-01 11:31:48
180,500_145_QEPB04081__180__11-31-49-565.txt,1044,220.843,1015.12,557731.464,17055,508.027,691.472222222222,2000-01-01 11:31:49
181,500_145_QEPB04081__181__11-31-50-558.txt,1044,220.843,1015.12,556351.50725,17114.75,508.027,689.746168582376,2000-01-01 11:31:50
182,500_145_QEPB04081__182__11-31-51-552.txt,1044,220.843,1015.12,556356.9965,17054.5,507.253,689.748084291188,2000-01-01 11:31:51
183,500_145_QEPB04081__183__11-31-52-545.txt,1044,220.843,1015.12,556866.49976,17065.38,508.027,690.389578544064,2000-01-01 11:31:52
184,500_145_QEPB04081__184__11-31-53-553.txt,1044,220.843,1015.12,557395.7705,17043.5,508.027,691.053639846743,2000-01-01 11:31:53
185,500_145_QEPB04081__185__11-31-54-556.txt,1044,220.843,1015.12,556530.1615,17034.5,508.027,689.963601532567,2000-01-01 11:31:54
186,500_145_QEPB04081__186__11-31-55-546.txt,1044,220.843,1015.12,556942.2945,17032.5,507.253,690.490421455939,2000-01-01 11:31:55
187,500_145_QEPB04081__187__11-31-56-543.txt,1044,220.843,1015.12,556305.873,17059,508.027,689.693486590038,2000-01-01 11:31:56
188,500_145_QEPB04081__188__11-31-57-538.txt,1044,220.843,1015.12,556440.83125,16968.25,508.027,689.864942528736,2000-01-01 11:31:57
189,500_145_QEPB04081__189__11-31-58-539.txt,1044,220.843,1015.12,556730.8065,16994,507.253,690.234674329502,2000-01-01 11:31:58
190,500_145_QEPB04081__190__11-31-59-536.txt,1044,220.843,1015.12,556307.80575,16978.25,508.027,689.704022988506,2000-01-01 11:31:59
191,500_145_QEPB04081__191__11-32-00-527.txt,1044,220.843,1015.12,555587.4785,17004.5,508.027,688.79214559387,2000-01-01 11:32:00
192,500_145_QEPB04081__192__11-32-01-516.txt,1044,220.843,1015.12,556630.55874,17073.12,508.027,690.113295019154,2000-01-01 11:32:01
193,500_145_QEPB04081__193__11-32-02-514.txt,1044,220.843,1015.12,555207.71925,16947.25,508.027,688.324712643678,2000-01-01 11:32:02
194,500_145_QEPB04081__194__11-32-03-521.txt,1044,220.843,1015.12,555659.01624,16969.12,508.027,688.897777777775,2000-01-01 11:32:03
195,500_145_QEPB04081__195__11-32-04-517.txt,1044,220.843,1015.12,556550.71026,16940.88,508.027,690.015057471267,2000-01-01 11:32:04
196,500_145_QEPB04081__196__11-32-05-525.txt,1044,220.843,1015.12,555788.82326,16951.88,508.027,689.054329501919,2000-01-01 11:32:05
197,500_145_QEPB04081__197__11-32-06-519.txt,1044,220.843,1015.12,555618.25726,16974.38,508.027,688.847432950195,2000-01-01 11:32:06
198,500_145_QEPB04081__198__11-32-07-513.txt,1044,220.843,1015.12,554758.17576,16934.88,508.027,687.764099616861,2000-01-01 11:32:07
199,500_145_QEPB04081__199__11-32-08-511.txt,1044,220.843,1015.12,555409.045,16995,507.253,688.585249042146,2000-01-01 11:32:08
200,500_145_QEPB04081__200__11-32-09-500.txt,1044,220.843,1015.12,555167.48874,16950.62,508.027,688.282835249039,2000-01-01 11:32:09
201,500_145_QEPB04081__201__11-32-10-495.txt,1044,220.843,1015.12,555120.58126,16924.38,508.027,688.233448275865,2000-01-01 11:32:10
