Index,File,Points,Lambda_Min,Lambda_Max,Integral,Peak_Value,Peak_Lambda,Mean_Value
119,500_425_QEPB04081__119__15-50-17-300.txt,1044,220.843,1015.12,1266851.83776,36845.88,504.934,1570.04475095786
120,500_425_QEPB04081__120__15-50-18-292.txt,1044,220.843,1015.12,1267404.1645,36814.5,504.934,1570.74137931034
121,500_425_QEPB04081__121__15-50-19-296.txt,1044,220.843,1015.12,1266928.18874,36904.12,504.934,1570.14777777777
122,500_425_QEPB04081__122__15-50-20-289.txt,1044,220.843,1015.12,1266818.3595,36783,504.934,1570.00957854406
123,500_425_QEPB04081__123__15-50-21-287.txt,1044,220.843,1015.12,1266365.87224,36736.62,504.934,1569.45429118774
124,500_425_QEPB04081__124__15-50-22-296.txt,1044,220.843,1015.12,1265985.46125,36774.25,504.934,1568.98084291188
125,500_425_QEPB04081__125__15-50-23-287.txt,1044,220.843,1015.12,1266317.38976,36772.88,505.707,1569.38766283525
126,500_425_QEPB04081__126__15-50-24-293.txt,1044,220.843,1015.12,1265912.74275,36737.75,504.934,1568.88888888889
127,500_425_QEPB04081__127__15-50-25-307.txt,1044,220.843,1015.12,1266322.82526,36754.38,504.934,1569.40107279694
128,500_425_QEPB04081__128__15-50-26-301.txt,1044,220.843,1015.12,1265351.70926,36790.88,504.934,1568.19609195403
129,500_425_QEPB04081__129__15-50-27-302.txt,1044,220.843,1015.12,1265507.2035,36741,504.934,1568.3898467433
130,500_425_QEPB04081__130__15-50-28-302.txt,1044,220.843,1015.12,1265798.96874,36687.12,504.934,1568.74931034482
131,500_425_QEPB04081__131__15-50-29-300.txt,1044,220.843,1015.12,1264741.26576,36786.38,504.934,1567.42980842912
132,500_425_QEPB04081__132__15-50-30-294.txt,1044,220.843,1015.12,1265287.78025,36698.25,504.934,1568.11877394636
133,500_425_QEPB04081__133__15-50-31-297.txt,1044,220.843,1015.12,1264672.0245,36730.5,504.934,1567.34578544061
134,500_425_QEPB04081__134__15-50-32-293.txt,1044,220.843,1015.12,1265262.39424,36784.12,504.934,1568.08839080459
135,500_425_QEPB04081__135__15-50-33-301.txt,1044,220.843,1015.12,1264816.9015,36739.5,504.934,1567.5316091954
136,500_425_QEPB04081__136__15-50-34-308.txt,1044,220.843,1015.12,1264996.826,36655.5,505.707,1567.76724137931
137,500_425_QEPB04081__137__15-50-35-303.txt,1044,220.843,1015.12,1265423.18425,36777.25,504.934,1568.30555555556
138,500_425_QEPB04081__138__15-50-36-292.txt,1044,220.843,1015.12,1264498.71625,36715.25,504.934,1567.14559386973
139,500_425_QEPB04081__139__15-50-37-292.txt,1044,220.843,1015.12,1264659.918,36728.5,504.934,1567.34865900383
140,500_425_QEPB04081__140__15-50-38-306.txt,1044,220.843,1015.12,1264792.35874,36677.62,504.934,1567.52038314176
141,500_425_QEPB04081__141__15-50-39-301.txt,1044,220.843,1015.12,1263880.12775,36653.25,504.934,1566.38314176245
142,500_425_QEPB04081__142__15-50-40-295.txt,1044,220.843,1015.12,1263844.37125,36649.25,505.707,1566.33620689655
143,500_425_QEPB04081__143__15-50-41-296.txt,1044,220.843,1015.12,1264364.877,36643.5,505.707,1566.98946360153
144,500_425_QEPB04081__144__15-50-42-296.txt,1044,220.843,1015.12,1263105.01226,36672.88,505.707,1565.41831417625
145,500_425_QEPB04081__145__15-50-43-297.txt,1044,220.843,1015.12,1264337.56925,36693.75,504.934,1566.95785440613
146,500_425_QEPB04081__146__15-50-44-290.txt,1044,220.843,1015.12,1263677.49074,36628.12,504.934,1566.13245210728
147,500_425_QEPB04081__147__15-50-45-286.txt,1044,220.843,1015.12,1263432.25676,36624.38,504.934,1565.8321072797
148,500_425_QEPB04081__148__15-50-46-282.txt,1044,220.843,1015.12,1264256.26924,36630.12,504.934,1566.86521072797
149,500_425_QEPB04081__149__15-50-47-276.txt,1044,220.843,1015.12,1264340.96475,36651.75,504.934,1566.96360153257
150,500_425_QEPB04081__150__15-50-48-271.txt,1044,220.843,1015.12,1263770.45424,36575.62,504.934,1566.25697318007
151,500_425_QEPB04081__151__15-50-49-273.txt,1044,220.843,1015.12,1262778.72075,36679.75,504.934,1565.01340996169
152,500_425_QEPB04081__152__15-50-50-268.txt,1044,220.843,1015.12,1262797.85474,36585.12,504.934,1565.04432950191
153,500_425_QEPB04081__153__15-50-51-261.txt,1044,220.843,1015.12,1262911.86674,36558.62,504.934,1565.19375478927
154,500_425_QEPB04081__154__15-50-52-250.txt,1044,220.843,1015.12,1263060.68676,36634.38,504.934,1565.37329501916
155,500_425_QEPB04081__155__15-50-53-244.txt,1044,220.843,1015.12,1263601.61776,36611.88,505.707,1566.0514559387
156,500_425_QEPB04081__156__15-50-54-236.txt,1044,220.843,1015.12,1261905.75924,36561.12,504.934,1563.92651340996
157,500_425_QEPB04081__157__15-50-55-228.txt,1044,220.843,1015.12,1264882.61376,36631.38,504.934,1567.63287356322
158,500_425_QEPB04081__158__15-50-56-217.txt,1044,220.843,1015.12,1153921.61576,33411.88,505.707,1430.10509578544
159,500_425_QEPB04081__159__15-50-57-219.txt,1044,220.843,1015.12,1229890.32524,35685.62,504.934,1524.25601532567
160,500_425_QEPB04081__160__15-50-58-207.txt,1044,220.843,1015.12,1259715.32724,36503.12,504.934,1561.22632183908
161,500_425_QEPB04081__161__15-50-59-207.txt,1044,220.843,1015.12,1262135.85376,36468.38,505.707,1564.23057471265
162,500_425_QEPB04081__162__15-51-00-201.txt,1044,220.843,1015.12,1261818.69526,36583.88,505.707,1563.82636015326
163,500_425_QEPB04081__163__15-51-01-194.txt,1044,220.843,1015.12,1262861.59324,36516.62,504.934,1565.13053639846
164,500_425_QEPB04081__164__15-51-02-183.txt,1044,220.843,1015.12,1262774.27674,36517.62,504.934,1565.02134099617
165,500_425_QEPB04081__165__15-51-03-192.txt,1044,220.843,1015.12,1262108.52176,36498.88,504.934,1564.18842911878
166,500_425_QEPB04081__166__15-51-04-186.txt,1044,220.843,1015.12,1262811.23274,36534.62,504.934,1565.07019157088
167,500_425_QEPB04081__167__15-51-05-185.txt,1044,220.843,1015.12,1262704.513,36485.5,505.707,1564.93869731801
168,500_425_QEPB04081__168__15-51-06-190.txt,1044,220.843,1015.12,1262771.84176,36544.88,504.934,1565.02846743295
169,500_425_QEPB04081__169__15-51-07-180.txt,1044,220.843,1015.12,1262371.44775,36454.25,504.934,1564.52490421456
170,500_425_QEPB04081__170__15-51-08-178.txt,1044,220.843,1015.12,1262396.5,36492.5,504.934,1564.55842911877
171,500_425_QEPB04081__171__15-51-09-177.txt,1044,220.843,1015.12,1261636.5005,36476.5,505.707,1563.60632183908
172,500_425_QEPB04081__172__15-51-10-169.txt,1044,220.843,1015.12,1262139.805,36501,504.934,1564.23659003831
173,500_425_QEPB04081__173__15-51-11-171.txt,1044,220.843,1015.12,1261510.08624,36452.12,504.934,1563.45716475095
174,500_425_QEPB04081__174__15-51-12-169.txt,1044,220.843,1015.12,1261641.6795,36473.5,504.934,1563.62931034483
175,500_425_QEPB04081__175__15-51-13-160.txt,1044,220.843,1015.12,1261453.48275,36437.25,504.934,1563.39272030651
176,500_425_QEPB04081__176__15-51-14-162.txt,1044,220.843,1015.12,1261420.65574,36369.12,505.707,1563.36808429118
177,500_425_QEPB04081__177__15-51-15-153.txt,1044,220.843,1015.12,1261393.284,36426.5,505.707,1563.32279693487
178,500_425_QEPB04081__178__15-51-16-157.txt,1044,220.843,1015.12,1260849.99324,36385.12,504.934,1562.64394636015
179,500_425_QEPB04081__179__15-51-17-149.txt,1044,220.843,1015.12,1262419.2235,36419.5,505.707,1564.59770114943
180,500_425_QEPB04081__180__15-51-18-141.txt,1044,220.843,1015.12,1261164.67974,36324.62,504.934,1563.04432950191
181,500_425_QEPB04081__181__15-51-19-143.txt,1044,220.843,1015.12,1259231.04976,36314.88,505.707,1560.63862068966
182,500_425_QEPB04081__182__15-51-20-147.txt,1044,220.843,1015.12,1259571.39776,36260.38,505.707,1561.06869731801
183,500_425_QEPB04081__183__15-51-21-159.txt,1044,220.843,1015.12,1259226.05524,36292.12,504.934,1560.63819923371
184,500_425_QEPB04081__184__15-51-22-152.txt,1044,220.843,1015.12,1259753.88076,36217.88,504.934,1561.30911877395
185,500_425_QEPB04081__185__15-51-23-141.txt,1044,220.843,1015.12,1259160.78974,36321.12,504.934,1560.558697318
186,500_425_QEPB04081__186__15-51-24-130.txt,1044,220.843,1015.12,1259715.043,36284.5,504.934,1561.25095785441
187,500_425_QEPB04081__187__15-51-25-122.txt,1044,220.843,1015.12,1259075.20176,36192.88,504.934,1560.46716475096
188,500_425_QEPB04081__188__15-51-26-119.txt,1044,220.843,1015.12,1259352.0355,36303,504.934,1560.80747126437
189,500_425_QEPB04081__189__15-51-27-118.txt,1044,220.843,1015.12,1258025.23675,36221.75,504.934,1559.14750957854
190,500_425_QEPB04081__190__15-51-28-113.txt,1044,220.843,1015.12,1258301.978,36209.5,505.707,1559.49712643678
191,500_425_QEPB04081__191__15-51-29-127.txt,1044,220.843,1015.12,1257393.80175,36227.25,504.934,1558.36111111111
