Index,File,Points,Lambda_Min,Lambda_Max,Integral,Peak_Value,Peak_Lambda,Mean_Value,Time_HMS
115,500_565_QEPB04081__115__09-52-20-945.txt,1044,220.843,1015.12,1535617.42124,43661.12,504.934,1902.97249042145,2000-01-01 09:52:20
116,500_565_QEPB04081__116__09-52-21-946.txt,1044,220.843,1015.12,1534973.85175,43599.75,504.934,1902.17049808429,2000-01-01 09:52:21
117,500_565_QEPB04081__117__09-52-22-939.txt,1044,220.843,1015.12,1535733.24824,43623.12,504.934,1903.11712643678,2000-01-01 09:52:22
118,500_565_QEPB04081__118__09-52-23-950.txt,1044,220.843,1015.12,1535153.96326,43586.38,504.934,1902.40107279694,2000-01-01 09:52:23
119,500_565_QEPB04081__119__09-52-24-951.txt,1044,220.843,1015.12,1533161.70424,43575.62,504.934,1899.93896551724,2000-01-01 09:52:24
120,500_565_QEPB04081__120__09-52-25-950.txt,1044,220.843,1015.12,1534716.43175,43568.75,504.934,1901.87164750958,2000-01-01 09:52:25
121,500_565_QEPB04081__121__09-52-26-942.txt,1044,220.843,1015.12,1533918.49226,43528.88,504.16,1900.88191570882,2000-01-01 09:52:26
122,500_565_QEPB04081__122__09-52-27-930.txt,1044,220.843,1015.12,1533115.26325,43502.75,504.934,1899.88888888889,2000-01-01 09:52:27
123,500_565_QEPB04081__123__09-52-28-926.txt,1044,220.843,1015.12,1533142.18375,43502.25,504.934,1899.92816091954,2000-01-01 09:52:28
124,500_565_QEPB04081__124__09-52-29-923.txt,1044,220.843,1015.12,1532476.1785,43454.5,504.16,1899.09291187739,2000-01-01 09:52:29
125,500_565_QEPB04081__125__09-52-30-916.txt,1044,220.843,1015.12,1533345.26975,43587.25,504.934,1900.18199233716,2000-01-01 09:52:30
126,500_565_QEPB04081__126__09-52-31-905.txt,1044,220.843,1015.12,1532937.55675,43486.25,504.934,1899.66091954023,2000-01-01 09:52:31
127,500_565_QEPB04081__127__09-52-32-895.txt,1044,220.843,1015.12,1533103.584,43524,504.16,1899.87739463602,2000-01-01 09:52:32
128,500_565_QEPB04081__128__09-52-33-911.txt,1044,220.843,1015.12,1532551.816,43440.5,504.934,1899.19444444444,2000-01-01 09:52:33
129,500_565_QEPB04081__129__09-52-34-905.txt,1044,220.843,1015.12,1532642.98724,43458.62,504.934,1899.30295019157,2000-01-01 09:52:34
130,500_565_QEPB04081__130__09-52-35-902.txt,1044,220.843,1015.12,1532060.46525,43388.25,504.16,1898.5785440613,2000-01-01 09:52:35
131,500_565_QEPB04081__131__09-52-36-909.txt,1044,220.843,1015.12,1531817.17226,43499.88,504.934,1898.27272030652,2000-01-01 09:52:36
132,500_565_QEPB04081__132__09-52-37-903.txt,1044,220.843,1015.12,1531676.84525,43398.25,504.16,1898.10153256705,2000-01-01 09:52:37
133,500_565_QEPB04081__133__09-52-38-907.txt,1044,220.843,1015.12,1531836.45274,43402.62,504.934,1898.30582375479,2000-01-01 09:52:38
134,500_565_QEPB04081__134__09-52-39-897.txt,1044,220.843,1015.12,1531066.30976,43446.38,504.934,1897.35222222223,2000-01-01 09:52:39
135,500_565_QEPB04081__135__09-52-40-912.txt,1044,220.843,1015.12,1531756.66776,43386.88,504.934,1898.21333333334,2000-01-01 09:52:40
136,500_565_QEPB04081__136__09-52-41-928.txt,1044,220.843,1015.12,1530657.8305,43369.5,504.16,1896.84961685824,2000-01-01 09:52:41
137,500_565_QEPB04081__137__09-52-42-927.txt,1044,220.843,1015.12,1531618.22475,43363.25,504.16,1898.04885057471,2000-01-01 09:52:42
138,500_565_QEPB04081__138__09-52-43-916.txt,1044,220.843,1015.12,1530323.68274,43339.62,504.934,1896.4332183908,2000-01-01 09:52:43
139,500_565_QEPB04081__139__09-52-44-924.txt,1044,220.843,1015.12,1531057.0865,43368.5,504.934,1897.34482758621,2000-01-01 09:52:44
140,500_565_QEPB04081__140__09-52-45-916.txt,1044,220.843,1015.12,1530804.37975,43378.25,504.934,1897.04118773946,2000-01-01 09:52:45
141,500_565_QEPB04081__141__09-52-46-922.txt,1044,220.843,1015.12,1529478.7025,43336.5,504.934,1895.37260536398,2000-01-01 09:52:46
142,500_565_QEPB04081__142__09-52-47-913.txt,1044,220.843,1015.12,1529489.33325,43318.25,504.16,1895.39750957854,2000-01-01 09:52:47
143,500_565_QEPB04081__143__09-52-48-910.txt,1044,220.843,1015.12,1530391.863,43307,504.934,1896.52681992337,2000-01-01 09:52:48
144,500_565_QEPB04081__144__09-52-49-909.txt,1044,220.843,1015.12,1530135.80575,43306.75,504.934,1896.20689655172,2000-01-01 09:52:49
145,500_565_QEPB04081__145__09-52-50-910.txt,1044,220.843,1015.12,1530423.97624,43260.12,504.934,1896.5730651341,2000-01-01 09:52:50
146,500_565_QEPB04081__146__09-52-51-918.txt,1044,220.843,1015.12,1530031.82425,43344.25,504.934,1896.07375478927,2000-01-01 09:52:51
147,500_565_QEPB04081__147__09-52-52-928.txt,1044,220.843,1015.12,1529195.96424,43333.62,504.934,1895.04528735632,2000-01-01 09:52:52
148,500_565_QEPB04081__148__09-52-53-938.txt,1044,220.843,1015.12,1529738.56225,43239.25,504.934,1895.71264367816,2000-01-01 09:52:53
149,500_565_QEPB04081__149__09-52-54-941.txt,1044,220.843,1015.12,1528715.074,43319.5,504.934,1894.44540229885,2000-01-01 09:52:54
150,500_565_QEPB04081__150__09-52-55-931.txt,1044,220.843,1015.12,1528698.94026,43302.38,504.934,1894.42501915709,2000-01-01 09:52:55
152,500_565_QEPB04081__152__09-52-56-953.txt,1044,220.843,1015.12,1435610.9015,40593,504.934,1779.06034482759,2000-01-01 09:52:56
153,500_565_QEPB04081__153__09-52-57-950.txt,1044,220.843,1015.12,1400479.8995,39673.5,504.934,1735.5316091954,2000-01-01 09:52:57
154,500_565_QEPB04081__154__09-52-58-956.txt,1044,220.843,1015.12,1427364.57426,40448.88,504.934,1768.84264367816,2000-01-01 09:52:58
155,500_565_QEPB04081__155__09-52-59-959.txt,1044,220.843,1015.12,1520517.20176,43008.88,504.934,1884.29091954023,2000-01-01 09:52:59
156,500_565_QEPB04081__156__09-53-00-955.txt,1044,220.843,1015.12,1523232.27075,43045.25,504.16,1887.64942528736,2000-01-01 09:53:00
157,500_565_QEPB04081__157__09-53-01-956.txt,1044,220.843,1015.12,1523743.81126,43130.38,504.934,1888.28421455939,2000-01-01 09:53:01
158,500_565_QEPB04081__158__09-53-02-958.txt,1044,220.843,1015.12,1524093.40925,43068.25,504.934,1888.7183908046,2000-01-01 09:53:02
159,500_565_QEPB04081__159__09-53-03-954.txt,1044,220.843,1015.12,1525704.53525,43177.25,504.16,1890.71360153257,2000-01-01 09:53:03
160,500_565_QEPB04081__160__09-53-04-950.txt,1044,220.843,1015.12,1525340.99574,43135.62,504.934,1890.26942528735,2000-01-01 09:53:04
161,500_565_QEPB04081__161__09-53-05-950.txt,1044,220.843,1015.12,1524769.75826,43187.88,504.934,1889.56582375479,2000-01-01 09:53:05
162,500_565_QEPB04081__162__09-53-06-952.txt,1044,220.843,1015.12,1525153.722,43237.5,504.934,1890.03927203065,2000-01-01 09:53:06
163,500_565_QEPB04081__163__09-53-07-946.txt,1044,220.843,1015.12,1524666.31626,43207.88,504.934,1889.42406130269,2000-01-01 09:53:07
164,500_565_QEPB04081__164__09-53-08-937.txt,1044,220.843,1015.12,1525709.046,43067.5,504.934,1890.73946360153,2000-01-01 09:53:08
165,500_565_QEPB04081__165__09-53-09-945.txt,1044,220.843,1015.12,1525516.14875,43087.75,504.934,1890.49616858238,2000-01-01 09:53:09
166,500_565_QEPB04081__166__09-53-10-940.txt,1044,220.843,1015.12,1524661.50376,43094.38,504.934,1889.42980842912,2000-01-01 09:53:10
167,500_565_QEPB04081__167__09-53-11-934.txt,1044,220.843,1015.12,1524986.23625,43074.75,504.934,1889.83908045977,2000-01-01 09:53:11
168,500_565_QEPB04081__168__09-53-12-925.txt,1044,220.843,1015.12,1524797.82076,43126.88,504.934,1889.60509578544,2000-01-01 09:53:12
169,500_565_QEPB04081__169__09-53-13-915.txt,1044,220.843,1015.12,1524042.50825,43118.25,504.934,1888.66475095785,2000-01-01 09:53:13
170,500_565_QEPB04081__170__09-53-14-927.txt,1044,220.843,1015.12,1524602.40526,43074.38,504.934,1889.37616858238,2000-01-01 09:53:14
171,500_565_QEPB04081__171__09-53-15-923.txt,1044,220.843,1015.12,1524277.70926,42988.38,504.934,1888.96045977012,2000-01-01 09:53:15
172,500_565_QEPB04081__172__09-53-16-911.txt,1044,220.843,1015.12,1523650.6705,43045.5,504.934,1888.18486590038,2000-01-01 09:53:16
173,500_565_QEPB04081__173__09-53-17-899.txt,1044,220.843,1015.12,1523617.98076,42990.88,504.934,1888.15107279694,2000-01-01 09:53:17
174,500_565_QEPB04081__174__09-53-18-907.txt,1044,220.843,1015.12,1524226.14225,43069.75,504.934,1888.90421455939,2000-01-01 09:53:18
175,500_565_QEPB04081__175__09-53-19-898.txt,1044,220.843,1015.12,1523614.00475,43018.75,504.934,1888.14463601533,2000-01-01 09:53:19
176,500_565_QEPB04081__176__09-53-20-900.txt,1044,220.843,1015.12,1522472.07224,42936.62,504.934,1886.73206896551,2000-01-01 09:53:20
177,500_565_QEPB04081__177__09-53-21-911.txt,1044,220.843,1015.12,1522037.05675,42886.25,504.934,1886.18965517241,2000-01-01 09:53:21
178,500_565_QEPB04081__178__09-53-22-912.txt,1044,220.843,1015.12,1521725.16174,42863.12,504.934,1885.80103448276,2000-01-01 09:53:22
179,500_565_QEPB04081__179__09-53-23-904.txt,1044,220.843,1015.12,1520483.246,42879,504.934,1884.26149425287,2000-01-01 09:53:23
180,500_565_QEPB04081__180__09-53-24-906.txt,1044,220.843,1015.12,1520908.2015,42821.5,504.934,1884.7969348659,2000-01-01 09:53:24
181,500_565_QEPB04081__181__09-53-25-902.txt,1044,220.843,1015.12,1521026.92574,42823.12,504.934,1884.94183908046,2000-01-01 09:53:25
182,500_565_QEPB04081__182__09-53-26-914.txt,1044,220.843,1015.12,1520236.119,42818.5,504.934,1883.96743295019,2000-01-01 09:53:26
183,500_565_QEPB04081__183__09-53-27-911.txt,1044,220.843,1015.12,1519683.80825,42775.75,504.934,1883.28256704981,2000-01-01 09:53:27
184,500_565_QEPB04081__184__09-53-28-909.txt,1044,220.843,1015.12,1520922.48424,42857.62,504.934,1884.81923371647,2000-01-01 09:53:28
185,500_565_QEPB04081__185__09-53-29-900.txt,1044,220.843,1015.12,1519504.3285,42832.5,504.934,1883.0622605364,2000-01-01 09:53:29
186,500_565_QEPB04081__186__09-53-30-912.txt,1044,220.843,1015.12,1520164.1505,42816.5,504.934,1883.87739463602,2000-01-01 09:53:30
187,500_565_QEPB04081__187__09-53-31-910.txt,1044,220.843,1015.12,1518784.4395,42760.5,504.934,1882.16954022989,2000-01-01 09:53:31
